province-name,num-locations
Amnat Charoen,8
Ang Thong,7
Bangkok,148
Buri Ram,19
Chachoengsao,12
Chai Nat,6
Chaiyaphum,17
Chanthaburi,12
Chiang Mai,45
Chiang Rai,22
Chon Buri,31
Chumphon,11
Kalasin,14
Kamphaeng Phet,12
Kanchanaburi,15
Khon Kaen,25
Krabi,10
Lampang,15
Lamphun,10
Loei,13
Lopburi,12
Mae Hong Son,6
Maha Sarakham,13
Mukdahan,9
Nakhon Nayok,5
Nakhon Pathom,10
Nakhon Phanom,11
Nakhon Ratchasima,38
Nakhon Sawan,14
Nakhon Si Thammarat,26
Nan,12
Narathiwat,13
Nong Bua Lam Phu,6
Nong Khai,8
Nonthaburi,34
Pathum Thani,24
Pattani,12
Phang Nga,8
Phatthalung,11
Phayao,9
Phetchaburi,22
Phichit,10
Phitsanulok,16
Phra Nakhon Si Ayutthaya,22
Phrae,8
Phuket,16
Prachin Buri,9
Prachuap Khiri Khan,12
Ranong,5
Ratchaburi,11
Rayong,16
Roi Et,17
Sa Kaeo,10
Sakon Nakhon,19
Samut Prakan,26
Samut Sakhon,8
Samut Songkhram,4
Saraburi,16
Satun,7
Si Sa Ket,17
Sing Buri,6
Songkhla,22
Sukhothai,9
Suphanburi,10
Surat Thani,28
Tak,9
Trang,11
Trat,5
Ubon Ratchathani,28
Udon Thani,22
Uthai Thani,8
Uttaradit,9
Yala,7
Yasothon,8
